CODIGO;DESCRICAO;DURACAO;PARCELAS;N_HORAS;EXERVIRTUAIS;QTD_APOSTILA;ATIVO;VALOR;REQUERAPOSTILA;POSEST;STATUSEST;QTD_APOSTILA_DIG;CANCELADOFRANQUEADORA;INCLUSAO;IMAGEM;OCULTO;MAPAKIDS;HORASCURSO;LINKINDICE
221;PROMOB;2;2;32;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;16;../indice/Promob.html
222;E-COMMERCE;2;2;32;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;16;../indice/E-commerce.html
223;EXCEL 2016 AVANÇADO;2;2;42;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;21;../indice/ExcelAvancado16.html
224;CUIDADOR DE IDOSO (somente apostila);2;2;32;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;16;
225;ASSISTENTE CONTÁBIL 3.0;2;2;34;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;17;
227;DESENVOLVEDOR DE SITES COM WORDPRESS;2;2;32;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;18;
228;OPERADOR DE CAIXA 3.0;2;2;28;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;14;
229;SKETCHUP 2019;2;2;28;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;14;
231;PHP COM LARAVEL 3.0;2;2;32;N;0;N;;1;N;N;5;N;S;ONLINE;N;N;16;
232;SECRETARIADO 3.0;2;2;32;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;16;
233;FINANÇAS PESSOAIS;2;2;8;N;0;S;;0;N;N;5;N;S;ONLINE;N;N;4;
234;MELHOR ATENDENTE;2;2;8;N;0;S;;0;N;N;5;N;S;ONLINE;N;N;4;
246;HOTELARIA;2;2;32;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;16;
247;LOGÍSTICA;2;2;32;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;16;
248;WORD 2019;2;2;16;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;16;
249;EXCEL 2019;2;2;14;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;14;
250;POWERPOINT 2019;2;2;14;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;14;
251;EXCEL AVANÇADO 2019;2;2;42;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;21;
